StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
GroupOneStrategy,2019-Oct-10 13:37:59.964000,VXX,100,25.225000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833193,,FILL
GroupOneStrategy,2019-Oct-10 13:39:31.509000,VXX,-100,25.140000,0.176314,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833194,,FILL
GroupOneStrategy,2019-Oct-10 13:40:14.265000,VXX,100,25.155000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833195,,FILL
GroupOneStrategy,2019-Oct-10 13:40:41.733000,VXX,-100,25.155000,0.176347,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833196,,FILL
GroupOneStrategy,2019-Oct-10 13:41:22.977000,VXX,100,25.155000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833197,,FILL
GroupOneStrategy,2019-Oct-10 13:42:09.411000,VXX,-100,25.155000,0.176347,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833198,,FILL
GroupOneStrategy,2019-Oct-10 13:43:02.321000,VXX,100,25.170000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833199,,FILL
GroupOneStrategy,2019-Oct-10 13:43:12.454000,VXX,-100,25.170000,0.176381,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833200,,FILL
GroupOneStrategy,2019-Oct-10 13:47:25.920000,VXX,100,25.150000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833201,,FILL
GroupOneStrategy,2019-Oct-10 13:48:11.610000,VXX,-100,25.170000,0.176381,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833202,,FILL
GroupOneStrategy,2019-Oct-10 13:50:08.782000,VXX,100,25.060000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833203,,FILL
GroupOneStrategy,2019-Oct-10 13:50:10.176000,VXX,-100,25.060000,0.176134,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833204,,FILL
GroupOneStrategy,2019-Oct-10 13:50:10.205000,VXX,100,25.060000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833205,,FILL
GroupOneStrategy,2019-Oct-10 13:50:11.909000,VXX,-100,25.060000,0.176134,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833206,,FILL
GroupOneStrategy,2019-Oct-10 13:50:24.795000,VXX,100,24.955000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833207,,FILL
GroupOneStrategy,2019-Oct-10 13:50:34.553000,VXX,-100,25.000000,0.176000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833208,,FILL
GroupOneStrategy,2019-Oct-10 13:50:45.943000,VXX,100,24.970000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833209,,FILL
GroupOneStrategy,2019-Oct-10 13:50:54.986000,VXX,-100,24.970000,0.175933,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833210,,FILL
GroupOneStrategy,2019-Oct-10 13:51:14.368000,VXX,100,24.890000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833211,,FILL
GroupOneStrategy,2019-Oct-10 13:51:56.330000,VXX,-100,24.990000,0.175978,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833212,,FILL
GroupOneStrategy,2019-Oct-10 13:52:16.331000,VXX,100,24.960000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833213,,FILL
GroupOneStrategy,2019-Oct-10 13:52:52.667000,VXX,-100,24.920000,0.175821,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833214,,FILL
GroupOneStrategy,2019-Oct-10 13:55:02.188000,VXX,100,24.845000,0.120000,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833215,,FILL
GroupOneStrategy,2019-Oct-10 13:55:33.452000,VXX,-100,24.840000,0.175642,REMOVED,0,,SIM-1001-101,dlariviere,IEX,361438677833216,,FILL
