Name,Time,Cumulative PnL
GroupOneStrategy,2020-Jan-02 14:30:17.195000,0.000000
GroupOneStrategy,2020-Jan-02 14:31:27.114000,0.000000
GroupOneStrategy,2020-Jan-02 14:32:37.500000,-0.120000
GroupOneStrategy,2020-Jan-02 14:33:46.696000,-0.272794
GroupOneStrategy,2020-Jan-02 14:34:54.536000,-0.392794
GroupOneStrategy,2020-Jan-02 14:35:54.959000,-0.818336
GroupOneStrategy,2020-Jan-02 14:37:05.649000,-0.818336
GroupOneStrategy,2020-Jan-02 14:38:07.346000,-1.211197
GroupOneStrategy,2020-Jan-02 14:39:16.933000,2.788803
GroupOneStrategy,2020-Jan-02 14:40:20.378000,2.635853
GroupOneStrategy,2020-Jan-02 14:41:38.449000,2.515853
GroupOneStrategy,2020-Jan-02 14:42:49.217000,4.015853
GroupOneStrategy,2020-Jan-02 14:43:53.180000,4.362835
GroupOneStrategy,2020-Jan-02 14:45:20.202000,2.089840
GroupOneStrategy,2020-Jan-02 14:46:37.768000,2.089840
GroupOneStrategy,2020-Jan-02 14:47:51.756000,3.696834
GroupOneStrategy,2020-Jan-02 14:48:53.797000,4.043771
GroupOneStrategy,2020-Jan-02 14:49:58.685000,6.923771
GroupOneStrategy,2020-Jan-02 14:51:01.530000,9.423771
GroupOneStrategy,2020-Jan-02 14:52:09.869000,10.923771
GroupOneStrategy,2020-Jan-02 14:53:20.467000,11.923771
GroupOneStrategy,2020-Jan-02 14:54:30.949000,12.650518
GroupOneStrategy,2020-Jan-02 14:55:52.777000,12.650518
GroupOneStrategy,2020-Jan-02 14:57:01.157000,12.497254
GroupOneStrategy,2020-Jan-02 14:58:16.664000,12.497254
GroupOneStrategy,2020-Jan-02 14:59:21.163000,12.497254
GroupOneStrategy,2020-Jan-02 15:00:32.427000,12.377254
GroupOneStrategy,2020-Jan-02 15:01:34.721000,11.377254
GroupOneStrategy,2020-Jan-02 15:02:48.175000,18.377254
GroupOneStrategy,2020-Jan-02 15:03:52.466000,15.377254
GroupOneStrategy,2020-Jan-02 15:05:03.645000,16.104013
GroupOneStrategy,2020-Jan-02 15:06:05.592000,16.104013
GroupOneStrategy,2020-Jan-02 15:07:20.769000,11.104013
GroupOneStrategy,2020-Jan-02 15:08:25.859000,10.950771
GroupOneStrategy,2020-Jan-02 15:09:40.448000,10.677563
GroupOneStrategy,2020-Jan-02 15:10:44.284000,10.404355
GroupOneStrategy,2020-Jan-02 15:11:45.208000,12.284355
GroupOneStrategy,2020-Jan-02 15:12:56.392000,15.784355
GroupOneStrategy,2020-Jan-02 15:14:09.173000,19.284355
GroupOneStrategy,2020-Jan-02 15:15:14.468000,22.284355
GroupOneStrategy,2020-Jan-02 15:16:24.994000,25.284355
GroupOneStrategy,2020-Jan-02 15:17:37.584000,31.857133
GroupOneStrategy,2020-Jan-02 15:18:58.884000,31.737133
GroupOneStrategy,2020-Jan-02 15:20:05.636000,31.583544
GroupOneStrategy,2020-Jan-02 15:21:07.560000,31.310101
GroupOneStrategy,2020-Jan-02 15:22:13.277000,31.036658
GroupOneStrategy,2020-Jan-02 15:23:26.412000,30.916658
GroupOneStrategy,2020-Jan-02 15:24:41.293000,36.916658
GroupOneStrategy,2020-Jan-02 15:25:55.231000,36.916658
GroupOneStrategy,2020-Jan-02 15:27:03.819000,37.263114
GroupOneStrategy,2020-Jan-02 15:28:09.807000,37.263114
GroupOneStrategy,2020-Jan-02 15:29:24.882000,37.263114
GroupOneStrategy,2020-Jan-02 15:30:27.398000,37.263114
GroupOneStrategy,2020-Jan-02 15:31:45.943000,36.989827
GroupOneStrategy,2020-Jan-02 15:32:50.918000,36.869827
GroupOneStrategy,2020-Jan-02 15:33:56.692000,36.096541
GroupOneStrategy,2020-Jan-02 15:35:08.631000,34.943221
GroupOneStrategy,2020-Jan-02 15:36:10.919000,34.943221
GroupOneStrategy,2020-Jan-02 15:37:23.812000,34.669912
GroupOneStrategy,2020-Jan-02 15:38:34.286000,34.549912
GroupOneStrategy,2020-Jan-02 15:39:58.148000,37.549912
GroupOneStrategy,2020-Jan-02 15:41:01.886000,37.549912
GroupOneStrategy,2020-Jan-02 15:42:14.157000,37.396525
GroupOneStrategy,2020-Jan-02 15:43:30.567000,37.396525
GroupOneStrategy,2020-Jan-02 15:44:37.366000,37.276525
GroupOneStrategy,2020-Jan-02 15:45:39.130000,37.123227
GroupOneStrategy,2020-Jan-02 15:46:53.220000,37.003227
GroupOneStrategy,2020-Jan-02 15:47:58.483000,38.003227
GroupOneStrategy,2020-Jan-02 15:49:04.386000,40.503227
GroupOneStrategy,2020-Jan-02 15:50:21.684000,39.849862
GroupOneStrategy,2020-Jan-02 15:51:41.870000,39.849862
GroupOneStrategy,2020-Jan-02 15:52:51.714000,39.849862
GroupOneStrategy,2020-Jan-02 15:54:12.294000,39.849862
GroupOneStrategy,2020-Jan-02 15:55:22.568000,39.849862
GroupOneStrategy,2020-Jan-02 15:56:33.718000,39.849862
GroupOneStrategy,2020-Jan-02 15:57:47.903000,39.849862
GroupOneStrategy,2020-Jan-02 15:59:04.862000,39.849862
GroupOneStrategy,2020-Jan-02 16:00:10.442000,39.849862
GroupOneStrategy,2020-Jan-02 16:01:23.246000,39.849862
GroupOneStrategy,2020-Jan-02 16:02:43.354000,39.849862
GroupOneStrategy,2020-Jan-02 16:03:58.601000,39.729862
GroupOneStrategy,2020-Jan-02 16:05:01.471000,39.729862
GroupOneStrategy,2020-Jan-02 16:06:04.513000,43.729862
GroupOneStrategy,2020-Jan-02 16:07:31.523000,43.576722
GroupOneStrategy,2020-Jan-02 16:08:47.196000,43.576722
GroupOneStrategy,2020-Jan-02 16:10:01.281000,43.576722
GroupOneStrategy,2020-Jan-02 16:11:14.623000,43.576722
GroupOneStrategy,2020-Jan-02 16:12:31.366000,43.576722
GroupOneStrategy,2020-Jan-02 16:13:31.857000,43.576722
