Name,Time,Cumulative PnL
GroupOneStrategyForSPYVIX,2019-Oct-01 13:30:07.365000,0.000000
GroupOneStrategyForSPYVIX,2019-Oct-01 13:31:08.845000,0.000000
GroupOneStrategyForSPYVIX,2019-Oct-01 13:32:10.548000,0.000000
GroupOneStrategyForSPYVIX,2019-Oct-01 13:33:20.762000,-5.699342
GroupOneStrategyForSPYVIX,2019-Oct-01 13:34:29.901000,-5.699342
GroupOneStrategyForSPYVIX,2019-Oct-01 13:35:38.398000,-5.699342
GroupOneStrategyForSPYVIX,2019-Oct-01 13:36:41.762000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:37:42.381000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:38:49.704000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:40:00.766000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:41:36.534000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:42:45.987000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:43:55.901000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:45:07.335000,5.601181
GroupOneStrategyForSPYVIX,2019-Oct-01 13:46:23.706000,4.692787
GroupOneStrategyForSPYVIX,2019-Oct-01 13:47:37.912000,13.401088
GroupOneStrategyForSPYVIX,2019-Oct-01 13:48:44.110000,13.401088
GroupOneStrategyForSPYVIX,2019-Oct-01 13:50:00.267000,11.500656
GroupOneStrategyForSPYVIX,2019-Oct-01 13:51:01.132000,11.500656
GroupOneStrategyForSPYVIX,2019-Oct-01 13:52:11.729000,11.300541
GroupOneStrategyForSPYVIX,2019-Oct-01 13:53:24.724000,11.300541
GroupOneStrategyForSPYVIX,2019-Oct-01 13:54:29.389000,11.300541
GroupOneStrategyForSPYVIX,2019-Oct-01 13:55:29.726000,1.600840
GroupOneStrategyForSPYVIX,2019-Oct-01 13:56:35.854000,1.600840
GroupOneStrategyForSPYVIX,2019-Oct-01 13:57:40.847000,1.600840
GroupOneStrategyForSPYVIX,2019-Oct-01 13:58:50.185000,1.600840
GroupOneStrategyForSPYVIX,2019-Oct-01 14:00:00.147000,-5.798674
GroupOneStrategyForSPYVIX,2019-Oct-01 14:01:02.388000,36.002354
GroupOneStrategyForSPYVIX,2019-Oct-01 14:02:07.764000,36.002354
GroupOneStrategyForSPYVIX,2019-Oct-01 14:03:10.289000,36.002354
GroupOneStrategyForSPYVIX,2019-Oct-01 14:04:17.460000,36.002354
GroupOneStrategyForSPYVIX,2019-Oct-01 14:05:28.108000,36.002354
GroupOneStrategyForSPYVIX,2019-Oct-01 14:06:34.976000,49.304792
GroupOneStrategyForSPYVIX,2019-Oct-01 14:07:45.659000,49.304792
GroupOneStrategyForSPYVIX,2019-Oct-01 14:08:52.271000,49.304792
GroupOneStrategyForSPYVIX,2019-Oct-01 14:10:00.621000,59.107835
GroupOneStrategyForSPYVIX,2019-Oct-01 14:11:13.438000,65.411091
GroupOneStrategyForSPYVIX,2019-Oct-01 14:12:17.498000,65.411091
GroupOneStrategyForSPYVIX,2019-Oct-01 14:13:23.656000,60.117466
